Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
4/23/2015,662,714,3.78,,,,
7/17/2018,688,769,26.92,327,352,25.57,1015
1/23/2017,423,500,11.6,139,161,49.69,562
12/14/2014,60,68,50,,,,
9/3/2015,294,360,7.5,,,,
12/29/2014,109,127,48.03,,,,
11/14/2014,155,186,49.46,,,,
5/30/2016,201,212,0.94,43,57,45.61,244
7/4/2018,463,496,56.45,176,199,30.15,639
8/21/2015,422,476,4.41,,,,
4/7/2016,387,456,4.82,163,194,42.78,550
10/25/2016,336,375,0,150,163,46.01,486
9/2/2016,255,305,0,101,116,51.72,356
3/2/2015,26,36,36.11,,,,
9/19/2014,160,210,44.29,,,,
8/5/2015,525,583,3.77,,,,
6/18/2016,171,188,3.72,22,27,59.26,193
10/30/2016,129,151,0,42,55,34.55,171
3/15/2016,362,410,4.63,156,191,49.21,518
10/22/2014,172,210,43.33,,,,
6/1/2016,335,372,1.88,132,154,47.4,467
5/5/2015,480,563,6.22,,,,
11/20/2016,125,145,0.69,54,60,50,179
6/29/2014,59,67,55.22,,,,
6/15/2014,75,86,56.98,,,,
8/14/2014,142,224,51.34,,,,
9/15/2015,306,366,6.83,,,,
12/21/2016,233,255,1.57,88,100,50,321
6/10/2014,347,432,41.44,,,,
6/27/2014,172,201,49.75,,,,
5/17/2016,358,397,7.05,126,149,46.98,484
1/24/2015,70,79,56.96,,,,
4/6/2016,429,491,5.3,150,184,42.93,579
9/27/2014,49,55,69.09,,,,
10/18/2016,349,398,0,148,168,44.05,497
3/12/2018,569,647,21.48,292,332,34.04,861
5/22/2016,170,198,5.56,33,49,38.78,203
3/13/2018,579,654,21.87,279,329,29.18,858
3/14/2018,598,697,21.52,306,348,27.01,904
5/14/2015,524,583,4.29,,,,
3/15/2018,563,650,24.31,271,316,31.01,834
3/16/2018,488,559,21.82,210,247,28.34,698
3/17/2018,215,245,19.59,116,133,25.56,331
3/18/2018,233,278,25.54,132,161,29.19,365
3/19/2018,592,682,21.85,302,356,28.09,894
3/20/2018,580,656,20.27,349,395,27.09,929
3/21/2018,643,722,26.04,365,414,30.43,1008
3/22/2018,530,607,27.84,290,327,34.25,820
3/23/2018,428,481,22.87,323,365,20.82,751
3/24/2018,200,221,22.62,158,183,21.31,358
3/25/2018,218,247,24.7,161,179,21.23,379
3/26/2018,548,609,30.87,299,334,26.05,847
3/27/2018,628,715,28.11,340,386,25.13,968
3/28/2018,579,667,22.34,305,353,25.5,884
3/29/2018,514,573,25.13,307,355,22.82,821
3/30/2018,443,493,31.64,208,235,31.06,651
3/31/2018,241,277,23.47,127,143,29.37,368
4/5/2018,621,702,26.64,421,456,21.49,1042
4/22/2018,290,344,26.45,167,186,18.82,457
4/4/2018,598,675,23.56,322,363,23.14,920
4/13/2018,549,642,26.95,282,312,20.51,831
4/7/2018,221,245,28.16,128,149,30.87,349
4/2/2018,689,781,26.12,345,388,26.03,1034
4/24/2018,699,781,29.58,329,379,24.54,1028
4/9/2018,634,715,23.36,317,358,24.58,951
4/20/2018,567,631,22.82,269,302,29.8,836
4/10/2018,604,719,21.42,330,378,32.54,934
4/3/2018,644,731,25.17,365,407,21.87,1009
4/17/2018,752,873,22.22,379,427,22.48,1131
4/16/2018,757,862,23.43,301,345,27.25,1058
4/23/2018,703,819,23.93,327,359,25.07,1030
4/11/2018,692,816,25.37,338,403,30.27,1030
4/21/2018,234,283,27.56,120,140,22.14,354
4/15/2018,263,291,23.71,163,188,26.06,426
4/8/2018,254,279,31.54,172,187,25.13,426
4/6/2018,466,543,24.13,258,283,22.61,724
4/12/2018,696,792,28.03,312,358,27.93,1008
4/18/2018,717,836,21.89,350,402,23.63,1067
4/1/2018,274,305,30.82,129,139,26.62,403
4/19/2018,647,734,24.25,306,347,23.92,953
4/14/2018,233,268,29.48,131,149,23.49,364
4/25/2018,716,808,24.75,387,438,28.08,1103
4/26/2018,706,810,24.69,322,375,22.93,1028
4/27/2018,584,664,23.49,276,305,27.54,860
4/28/2018,234,270,25.56,134,158,17.09,368
4/29/2018,264,298,31.88,149,178,26.4,413
4/30/2018,659,738,26.15,356,414,21.5,1015
5/1/2018,656,742,25.47,364,399,29.57,1020
5/2/2018,671,783,29.12,367,417,22.3,1038
5/3/2018,650,749,26.7,415,457,28.67,1065
5/4/2018,539,618,29.13,321,365,30.41,860
5/5/2018,209,251,29.48,150,177,26.55,359
5/6/2018,260,302,32.12,164,184,21.2,424
5/7/2018,682,768,31.77,286,326,26.99,968
5/8/2018,648,747,29.05,390,437,26.77,1038
5/9/2018,701,779,28.24,355,398,32.16,1056
5/10/2018,595,681,31.72,306,348,32.47,901
5/11/2018,497,581,26.68,233,261,26.05,730
5/12/2018,237,277,30.32,122,134,27.61,359
5/13/2018,220,251,35.46,130,141,21.28,350
5/14/2018,650,723,34.3,328,371,24.53,978
5/15/2018,646,731,29.82,343,377,24.4,989
5/16/2018,672,776,25.52,310,346,30.64,982
4/5/2016,400,457,4.38,158,195,44.62,558
10/5/2015,348,434,5.07,,,,
7/20/2018,468,541,27.17,247,270,25.19,715
5/11/2015,357,432,7.87,,,,
7/12/2018,624,712,27.53,277,303,18.15,901
8/18/2014,132,196,37.24,,,,
12/29/2016,207,236,1.27,62,69,43.48,269
5/11/2016,292,339,3.24,118,149,38.93,410
9/10/2015,353,420,8.57,,,,
7/26/2018,605,705,27.38,343,381,23.62,948
7/22/2014,155,194,43.81,,,,
12/13/2014,55,65,50.77,,,,
7/16/2015,327,354,6.21,,,,
10/24/2014,203,252,44.84,,,,
8/12/2018,253,273,27.84,155,168,24.4,408
7/31/2014,194,252,41.67,,,,
1/18/2016,301,331,2.72,,,,
3/12/2016,109,125,2.4,34,40,32.5,143
5/14/2016,93,114,7.02,23,29,51.72,116
8/2/2016,302,354,0,167,208,44.23,469
12/6/2015,117,129,1.55,,,,
8/19/2014,163,213,42.72,,,,
8/23/2018,560,638,29.31,275,301,26.58,835
8/31/2016,386,430,0,100,118,50,486
1/6/2015,209,242,52.48,,,,
7/15/2016,292,326,0,118,139,43.88,410
10/18/2015,126,150,10.67,,,,
12/23/2014,104,116,56.9,,,,
4/26/2015,245,261,5.75,,,,
10/7/2015,342,422,8.77,,,,
12/26/2014,61,73,47.95,,,,
7/20/2015,369,398,5.78,,,,
9/1/2014,65,72,48.61,,,,
11/4/2016,253,287,0,99,122,36.07,352
8/15/2015,235,241,1.66,,,,
7/21/2015,359,424,9.43,,,,
8/10/2014,51,59,64.41,,,,
9/29/2016,372,411,0.24,190,232,43.53,562
8/4/2014,167,208,43.27,,,,
1/9/2016,102,120,0.83,,,,
7/29/2014,182,229,42.36,,,,
11/8/2014,63,83,54.22,,,,
1/28/2017,124,137,5.11,39,42,38.1,163
4/5/2015,100,107,6.54,,,,
8/2/2014,43,46,58.7,,,,
9/2/2018,213,239,36.82,140,152,22.37,353
10/11/2016,352,407,0,165,191,47.64,517
4/4/2015,96,110,4.55,,,,
10/9/2014,167,199,51.76,,,,
2/20/2015,165,198,44.95,,,,
4/11/2016,396,439,4.33,229,265,47.55,625
6/18/2015,261,292,7.88,,,,
10/2/2015,292,382,3.66,,,,
6/25/2016,108,115,0.87,45,54,44.44,153
8/24/2018,548,615,30.41,227,240,27.5,775
3/28/2015,86,95,2.11,,,,
10/13/2015,326,434,4.38,,,,
7/31/2016,104,124,0,45,53,41.51,149
5/8/2016,121,129,3.88,45,63,52.38,166
10/12/2016,375,429,0.23,174,203,45.32,549
5/17/2018,645,733,29.6,280,307,25.08,925
6/10/2015,326,388,8.25,,,,
5/18/2018,505,574,34.84,244,273,30.4,749
5/19/2018,213,229,36.68,126,130,20.77,339
9/9/2016,288,323,0,114,141,45.39,402
5/20/2018,220,248,33.06,136,151,23.18,356
1/9/2015,138,171,49.71,,,,
5/21/2018,615,714,29.69,301,341,25.81,916
5/22/2018,689,773,34.15,297,331,25.98,986
12/24/2015,142,154,1.95,,,,
5/23/2018,661,762,29.4,327,363,26.17,988
11/25/2014,148,167,53.29,,,,
5/24/2018,661,761,30.49,250,278,26.26,911
6/29/2018,484,543,30.94,233,250,24,717
5/25/2018,486,565,29.73,229,253,30.04,715
5/26/2018,188,218,28.44,97,116,23.28,285
11/15/2015,133,143,7.69,,,,
5/27/2018,216,247,41.7,131,149,18.79,347
5/28/2018,363,401,49.13,146,168,23.21,509
12/12/2015,102,121,0.83,,,,
5/29/2018,723,825,31.15,323,376,27.13,1046
6/1/2015,334,396,10.86,,,,
5/30/2018,716,799,32.54,336,396,30.05,1052
5/31/2018,625,720,29.58,271,313,25.56,896
6/1/2018,487,561,29.77,269,309,25.24,756
12/18/2014,187,229,41.48,,,,
6/2/2018,209,247,33.2,131,149,20.13,340
6/5/2018,651,753,32.93,274,301,25.58,925
6/30/2015,407,466,4.72,,,,
6/3/2018,251,296,30.41,155,175,23.43,406
6/4/2018,661,742,30.32,314,350,27.71,975
1/14/2016,316,363,4.13,,,,
8/26/2016,278,299,0.33,83,95,40,361
6/6/2018,605,708,29.52,299,332,28.61,904
6/7/2018,604,722,31.02,306,344,29.07,910
3/30/2016,386,423,3.78,214,254,29.53,600
6/8/2018,504,562,30.07,258,296,25.34,762
6/9/2018,208,242,34.3,123,135,18.52,331
8/14/2015,401,428,5.61,,,,
6/10/2018,222,246,32.93,133,141,19.15,355
12/16/2016,199,235,1.28,93,117,44.44,292
1/16/2016,113,126,3.97,,,,
6/11/2018,633,724,27.35,266,295,27.12,899
7/23/2014,139,171,43.27,,,,
6/12/2018,721,801,28.59,312,343,24.78,1033
1/7/2015,207,270,52.59,,,,
6/13/2018,687,797,27.1,331,368,25,1018
9/10/2016,132,143,0,29,33,36.36,161
6/14/2018,632,712,27.95,281,317,25.87,913
8/22/2018,640,709,26.8,299,331,30.51,939
6/16/2018,187,215,39.07,112,132,22.73,299
9/18/2016,132,144,0,46,52,48.08,178
6/15/2018,513,567,27.69,225,258,25.19,738
1/20/2016,382,440,5,,,,
8/16/2014,33,38,39.47,,,,
10/9/2015,303,398,3.52,,,,
6/17/2018,211,250,36.8,118,138,30.43,329
5/30/2015,104,119,8.4,,,,
4/1/2016,318,365,4.93,136,161,40.37,454
6/1/2014,1525,1721,41.78,,,,
6/21/2016,369,415,4.34,142,176,47.73,511
6/18/2018,607,703,30.73,268,311,22.83,875
6/19/2018,624,716,34.64,296,323,28.48,920
12/25/2015,54,60,1.67,,,,
12/24/2014,77,83,44.58,,,,
2/2/2017,403,452,9.29,149,171,42.69,552
11/16/2014,115,142,38.03,,,,
7/12/2016,334,374,0,186,237,47.68,520
12/28/2014,43,54,42.59,,,,
1/8/2016,272,304,7.24,,,,
6/5/2016,103,127,7.09,32,43,51.16,135
8/10/2015,500,549,5.46,,,,
1/15/2015,194,226,46.9,,,,
10/4/2016,428,482,0,197,242,38.84,625
1/27/2016,330,410,4.88,,,,
8/9/2018,591,668,25.9,336,362,27.07,927
6/7/2014,135,151,53.64,,,,
2/14/2016,125,130,2.31,81,95,54.74,206
12/3/2015,324,382,3.93,,,,
7/20/2016,314,382,0.26,160,200,46.5,474
6/12/2014,258,330,45.45,,,,
10/20/2015,385,473,6.34,,,,
5/15/2016,131,149,7.38,28,29,55.17,159
7/18/2016,333,394,0.25,152,185,49.73,485
1/24/2016,147,170,1.18,,,,
12/18/2016,90,97,1.03,36,38,60.53,126
6/2/2016,313,357,5.04,121,146,43.84,434
6/8/2015,347,408,11.52,,,,
7/8/2015,396,440,5.68,,,,
5/22/2015,237,272,6.99,,,,
6/29/2016,360,409,0,224,280,42.5,584
5/15/2015,311,344,6.4,,,,
4/21/2016,412,489,2.04,132,159,44.65,544
7/10/2016,109,123,0,45,52,57.69,154
11/7/2014,129,174,40.8,,,,
8/29/2016,449,481,0,127,157,40.76,576
4/9/2016,133,152,1.97,59,68,48.53,192
9/10/2018,609,682,29.33,1,1,100,610
10/2/2016,104,112,0,46,51,29.41,150
6/15/2015,302,357,7,,,,
10/12/2014,39,42,47.62,,,,
3/8/2016,429,489,4.29,135,165,39.39,564
6/11/2016,116,125,0.8,33,43,39.53,149
6/5/2014,3228,3424,67.73,,,,
9/9/2014,172,214,41.59,,,,
8/9/2014,42,50,62,,,,
2/28/2016,152,172,2.33,49,62,45.16,201
7/7/2015,358,394,4.57,,,,
9/22/2014,140,166,44.58,,,,
5/23/2015,104,126,3.97,,,,
12/5/2015,112,127,6.3,,,,
7/19/2018,603,697,29.56,289,327,29.05,892
5/20/2015,334,376,3.99,,,,
4/17/2015,449,501,6.99,,,,
1/1/2016,68,74,1.35,,,,
3/11/2016,315,358,3.07,159,191,44.5,474
12/27/2015,95,104,2.88,,,,
2/17/2015,251,298,43.29,,,,
2/5/2017,123,140,12.86,44,47,40.43,167
1/21/2015,187,226,47.79,,,,
10/1/2016,138,153,0,38,43,39.53,176
10/23/2015,299,382,8.12,,,,
10/4/2014,39,40,65,,,,
3/29/2016,383,426,2.82,200,234,32.48,583
7/14/2015,428,482,7.88,,,,
5/17/2015,112,132,8.33,,,,
11/6/2014,140,191,38.22,,,,
2/16/2015,162,193,58.55,,,,
8/12/2014,158,216,41.2,,,,
3/10/2016,394,451,3.1,231,292,44.52,625
9/12/2014,161,228,35.53,,,,
11/9/2016,345,382,0,129,152,49.34,474
12/29/2015,202,226,3.1,,,,
2/16/2016,364,417,2.4,449,514,43.39,813
7/14/2016,310,358,0,183,210,39.52,493
1/2/2017,135,153,1.96,41,49,36.73,176
3/6/2016,149,160,2.5,64,80,41.25,213
12/2/2016,328,376,0.8,112,130,31.54,440
8/3/2016,314,353,0,151,194,50,465
10/31/2016,375,452,0.22,123,148,45.27,498
11/28/2014,40,47,55.32,,,,
10/24/2016,385,442,0,137,158,41.77,522
8/27/2018,616,698,27.22,323,353,30.88,939
1/30/2016,128,140,3.57,,,,
6/7/2015,143,164,4.27,,,,
1/6/2016,339,375,3.73,,,,
12/10/2014,154,177,49.72,,,,
2/12/2015,221,267,56.18,,,,
10/29/2016,113,120,0,40,48,27.08,153
9/5/2015,106,123,3.25,,,,
11/30/2016,389,447,3.13,138,161,47.2,527
10/22/2016,128,143,0,30,37,37.84,158
2/4/2017,128,143,8.39,39,44,47.73,167
8/14/2018,603,670,28.21,309,344,28.78,912
4/28/2015,525,590,4.58,,,,
9/26/2016,314,371,0,168,206,51.46,482
2/4/2016,361,419,4.3,320,396,41.67,681
8/11/2015,450,488,4.71,,,,
8/1/2018,635,698,32.24,300,330,23.33,935
9/4/2016,147,166,0,36,38,50,183
2/6/2016,130,158,4.43,80,98,51.02,210
5/24/2016,392,461,4.12,100,128,54.69,492
11/24/2016,108,114,0,59,73,57.53,167
6/21/2015,116,124,26.61,,,,
8/21/2014,382,469,46.48,,,,
7/24/2016,116,131,0,56,65,30.77,172
5/8/2015,680,776,54.12,,,,
3/26/2016,128,140,2.14,15,18,44.44,143
7/7/2018,310,346,47.11,263,274,10.58,573
2/19/2016,323,376,5.85,315,374,53.74,638
10/6/2014,174,202,42.57,,,,
1/18/2015,88,110,55.45,,,,
8/20/2016,97,108,0,24,26,53.85,121
6/10/2016,270,294,2.38,88,104,46.15,358
8/26/2014,238,308,49.03,,,,
12/19/2015,85,97,9.28,,,,
3/19/2016,113,118,2.54,29,34,55.88,142
5/25/2014,31,34,44.12,,,,
7/31/2018,679,753,30.81,314,341,25.51,993
9/16/2015,356,442,7.47,,,,
9/21/2016,359,391,0,194,239,51.46,553
7/28/2015,306,351,6.84,,,,
3/24/2015,288,349,4.3,,,,
1/4/2017,327,374,2.14,111,126,51.59,438
2/10/2017,351,394,7.87,98,115,35.65,449
8/10/2018,474,546,23.99,271,290,18.97,745
8/5/2016,241,281,0.36,83,93,49.46,324
5/16/2016,312,342,3.22,103,117,44.44,415
5/21/2016,105,119,3.36,31,35,40,136
10/6/2016,307,347,0,191,228,48.68,498
2/3/2017,318,361,9.97,101,119,41.18,419
10/1/2014,207,248,51.21,,,,
7/4/2014,56,66,65.15,,,,
9/20/2015,120,144,6.25,,,,
11/26/2014,115,131,46.56,,,,
11/16/2015,346,429,7.23,,,,
1/20/2017,277,305,12.13,95,106,39.62,372
7/18/2018,632,695,25.47,279,310,23.55,911
10/31/2014,114,131,52.67,,,,
1/15/2017,138,152,18.42,39,48,37.5,177
6/28/2016,353,399,0,270,334,47.9,623
10/19/2014,46,51,47.06,,,,
7/23/2015,398,454,7.49,,,,
11/26/2015,124,137,2.92,,,,
5/3/2016,371,440,3.41,127,164,35.37,498
1/1/2017,84,93,0,25,26,50,109
9/11/2016,164,176,0,47,55,50.91,211
3/17/2016,357,407,2.46,163,206,50,520
11/3/2015,405,501,8.38,,,,
10/5/2014,44,54,57.41,,,,
2/21/2015,81,90,56.67,,,,
10/1/2015,306,385,5.19,,,,
5/24/2014,42,47,42.55,,,,
7/22/2016,242,301,0.33,131,158,36.71,373
11/23/2016,254,283,0,129,158,42.41,383
11/10/2015,400,488,5.12,,,,
1/31/2017,333,362,6.08,187,229,32.31,520
2/23/2015,214,242,54.55,,,,
12/19/2014,137,159,49.06,,,,
7/27/2016,310,348,0,151,183,41.53,461
9/29/2015,409,493,4.06,,,,
12/22/2016,219,251,0.8,80,93,44.09,299
5/18/2016,359,401,3.49,145,181,38.67,504
7/27/2018,491,546,27.84,259,285,28.42,750
11/27/2014,43,47,46.81,,,,
8/21/2016,126,140,0,40,52,50,166
12/17/2015,263,311,4.82,,,,
11/7/2015,116,127,1.57,,,,
11/19/2014,205,240,43.75,,,,
4/19/2015,195,202,6.93,,,,
7/19/2015,196,203,3.45,,,,
9/16/2014,196,260,40,,,,
12/24/2016,59,63,0,9,11,63.64,68
12/23/2016,149,164,0,46,48,33.33,195
10/22/2015,307,377,5.04,,,,
12/22/2014,128,137,50.36,,,,
9/26/2014,149,181,53.59,,,,
8/9/2015,299,306,2.29,,,,
5/12/2016,330,370,4.86,126,148,36.49,456
11/13/2016,133,144,0,53,63,38.1,186
8/18/2018,198,222,32.43,123,130,20.77,321
6/26/2015,459,507,8.48,,,,
6/4/2015,459,528,11.93,,,,
6/24/2014,221,263,50.19,,,,
7/8/2016,259,288,0,140,159,41.51,399
11/4/2015,345,439,10.71,,,,
6/28/2015,189,206,1.94,,,,
4/20/2016,393,442,4.52,166,198,46.97,559
7/12/2015,188,201,3.98,,,,
8/31/2015,294,335,8.06,,,,
5/5/2016,319,362,3.31,112,146,47.95,431
3/27/2016,211,225,1.78,20,22,63.64,231
7/5/2016,344,385,0.26,193,227,37.89,537
11/10/2014,163,200,43,,,,
9/29/2014,185,224,53.12,,,,
9/8/2018,251,282,28.01,2,2,50,253
10/9/2016,149,167,0,46,53,43.4,195
7/30/2016,113,118,0,24,25,32,137
1/2/2015,80,86,54.65,,,,
6/3/2016,280,311,2.89,130,149,46.31,410
2/27/2015,34,38,52.63,,,,
5/1/2016,165,189,2.65,52,64,32.81,217
6/6/2014,605,695,58.42,,,,
1/15/2016,269,296,5.07,,,,
2/7/2015,70,86,52.33,,,,
6/28/2018,543,606,33.66,247,285,29.12,790
2/8/2015,108,131,52.67,,,,
12/12/2014,113,132,53.03,,,,
9/11/2015,272,322,6.52,,,,
8/28/2015,252,290,8.62,,,,
4/2/2016,109,117,1.71,41,50,40,150
7/30/2014,152,199,37.69,,,,
10/23/2014,275,336,42.86,,,,
1/13/2016,349,397,2.52,,,,
12/12/2016,354,414,0.97,121,140,45.71,475
2/2/2016,382,442,3.39,624,743,46.03,1006
2/9/2016,358,436,4.13,258,326,44.17,616
9/11/2014,218,265,38.11,,,,
5/6/2016,299,328,4.27,108,127,43.31,407
10/27/2014,199,256,41.41,,,,
4/14/2015,477,549,15.12,,,,
2/1/2015,66,74,68.92,,,,
2/3/2015,211,264,51.89,,,,
6/13/2014,159,190,43.16,,,,
2/21/2016,140,151,5.3,85,103,54.37,225
6/16/2014,218,269,50.19,,,,
10/19/2016,311,341,0.29,151,180,48.89,462
11/3/2014,158,198,54.04,,,,
3/12/2015,256,288,5.21,,,,
7/16/2016,97,110,0,31,33,39.39,128
5/2/2016,410,476,2.94,124,156,39.1,534
2/8/2017,426,488,11.07,146,168,34.52,572
9/28/2015,334,393,5.85,,,,
9/4/2018,605,695,29.06,5,5,80,610
9/17/2016,96,108,0,28,30,73.33,124
9/6/2018,667,762,28.61,2,4,100,669
3/20/2016,159,174,1.72,62,74,64.86,221
10/10/2014,106,128,44.53,,,,
11/9/2014,54,61,57.38,,,,
12/6/2016,482,554,1.26,179,199,40.2,661
7/21/2018,199,228,31.14,117,135,21.48,316
12/27/2016,213,238,0,71,81,41.98,284
2/11/2015,222,272,51.84,,,,
4/29/2016,356,419,6.44,121,141,44.68,477
7/13/2018,454,508,28.54,244,267,16.85,698
4/10/2015,596,688,17.3,,,,
4/27/2015,624,685,6.13,,,,
11/18/2015,322,399,6.77,,,,
8/5/2018,223,248,29.44,149,161,22.36,372
8/23/2014,40,43,41.86,,,,
10/20/2016,346,391,0,127,149,47.65,473
7/26/2014,36,44,47.73,,,,
9/20/2014,58,77,41.56,,,,
10/30/2015,284,358,11.73,,,,
9/3/2014,176,211,44.55,,,,
5/7/2016,121,139,3.6,29,30,50,150
11/21/2014,151,179,48.04,,,,
11/6/2016,163,184,0,41,47,44.68,204
11/29/2014,55,62,56.45,,,,
4/26/2016,373,430,3.72,121,147,50.34,494
10/28/2014,174,199,48.74,,,,
1/2/2016,108,114,1.75,,,,
7/8/2014,231,277,45.13,,,,
10/8/2014,186,225,48.44,,,,
1/5/2016,354,393,5.09,,,,
7/8/2018,289,331,38.67,230,246,19.92,519
11/20/2015,266,356,5.34,,,,
9/15/2014,164,251,43.43,,,,
4/27/2016,388,432,4.4,168,199,46.23,556
4/11/2015,181,200,20,,,,
11/12/2016,137,163,0,39,45,33.33,176
10/17/2014,143,165,49.09,,,,
12/4/2014,173,216,44.91,,,,
3/13/2016,131,143,2.1,41,51,41.18,172
7/17/2016,109,119,0,42,52,40.38,151
2/23/2016,354,432,5.56,184,230,46.52,538
8/4/2018,227,254,30.71,140,147,18.37,367
12/20/2015,94,107,3.74,,,,
5/27/2014,232,434,24.42,,,,
8/7/2018,627,712,24.86,366,401,21.95,993
6/15/2016,330,373,2.95,119,149,46.31,449
8/16/2016,345,404,0.25,136,162,43.83,481
3/3/2015,36,36,61.11,,,,
4/19/2016,418,510,4.51,150,183,46.45,568
1/23/2016,108,121,4.13,,,,
5/3/2015,166,173,5.78,,,,
10/17/2016,365,426,0.23,134,152,44.08,499
7/10/2018,712,797,30.49,352,392,24.23,1064
12/11/2014,149,194,50.52,,,,
5/21/2015,364,442,8.14,,,,
7/1/2016,233,264,0,128,160,44.38,361
3/1/2015,10,10,70,,,,
11/21/2016,380,459,0.22,117,141,43.97,497
6/24/2015,477,531,5.84,,,,
8/1/2015,201,211,1.9,,,,
12/16/2015,267,322,6.52,,,,
6/27/2015,242,253,4.74,,,,
1/28/2015,210,245,50.2,,,,
12/1/2016,377,444,2.25,155,188,45.74,532
8/22/2015,190,203,3.45,,,,
12/7/2015,306,370,5.68,,,,
10/21/2015,294,389,2.83,,,,
7/27/2014,40,43,62.79,,,,
3/4/2016,295,345,5.22,99,115,39.13,394
2/10/2016,348,430,4.88,343,413,42.13,691
5/23/2014,133,233,21.89,,,,
8/20/2015,526,591,4.06,,,,
6/22/2016,326,377,3.71,124,146,50,450
6/22/2014,59,63,50.79,,,,
12/28/2015,237,256,4.69,,,,
8/19/2018,243,261,27.97,149,155,33.55,392
7/19/2014,48,59,45.76,,,,
5/28/2015,485,559,17.53,,,,
9/2/2014,162,202,41.58,,,,
9/3/2016,119,133,0,27,32,40.62,146
10/21/2014,161,202,44.06,,,,
4/9/2015,613,705,21.84,,,,
11/1/2014,43,49,46.94,,,,
2/8/2016,321,388,4.9,265,330,37.88,586
1/27/2015,225,290,53.1,,,,
9/1/2018,193,210,33.33,122,131,25.95,315
3/20/2015,187,224,6.25,,,,
8/30/2018,576,665,26.77,305,331,26.28,881
7/5/2015,195,202,3.96,,,,
1/30/2015,171,214,49.07,,,,
5/26/2015,419,478,5.02,,,,
5/29/2014,439,710,27.46,,,,
1/16/2017,295,331,8.16,86,98,45.92,381
4/3/2016,127,144,2.78,63,70,45.71,190
2/22/2016,412,509,5.11,185,224,43.3,597
6/14/2015,112,123,10.57,,,,
9/14/2014,55,59,50.85,,,,
7/15/2014,164,201,46.77,,,,
8/2/2018,586,645,32.25,278,304,26.64,864
10/28/2016,287,335,0,133,155,51.61,420
9/23/2016,272,299,0,108,127,55.91,380
8/12/2016,282,308,0,113,131,48.09,395
5/13/2015,348,399,9.02,,,,
9/23/2015,346,430,2.56,,,,
12/16/2014,164,201,44.78,,,,
2/14/2015,68,74,62.16,,,,
12/9/2016,258,292,1.03,100,111,43.24,358
9/7/2015,178,201,3.48,,,,
8/24/2015,335,383,8.09,,,,
8/15/2014,144,194,34.02,,,,
10/13/2016,354,410,0,159,190,44.74,513
8/11/2014,147,186,42.47,,,,
7/29/2018,251,271,32.47,180,195,25.13,431
3/5/2015,307,372,4.3,,,,
1/20/2015,234,284,51.06,,,,
8/8/2018,669,749,29.11,304,347,22.77,973
1/3/2017,301,345,0.58,100,116,47.41,401
2/18/2015,248,303,49.17,,,,
7/6/2018,618,704,40.91,563,597,14.07,1181
7/1/2018,241,255,42.75,130,143,29.37,371
7/3/2014,335,388,38.14,,,,
5/4/2016,318,382,4.71,132,156,41.03,450
7/9/2014,188,237,50.21,,,,
12/17/2016,86,90,2.22,39,45,42.22,125
2/5/2016,399,505,3.56,221,257,45.53,620
9/30/2015,312,376,7.98,,,,
8/10/2016,436,484,0.41,178,210,43.81,614
3/22/2016,393,430,5.58,130,181,40.33,523
3/21/2016,351,375,4,152,183,40.98,503
8/14/2016,116,126,0,30,37,45.95,146
6/7/2016,375,435,4.37,119,159,42.14,494
4/6/2015,292,336,4.46,,,,
10/19/2015,379,492,4.47,,,,
5/29/2016,162,181,3.87,28,36,44.44,190
1/12/2016,375,446,2.02,,,,
1/30/2017,404,454,9.47,156,178,47.19,560
9/8/2016,383,451,0,125,146,52.05,508
10/16/2016,119,137,0,37,41,65.85,156
8/27/2015,381,423,5.67,,,,
12/25/2014,23,24,54.17,,,,
7/26/2016,346,373,0,162,197,52.79,508
2/12/2016,277,331,6.04,213,256,46.48,490
6/26/2014,165,205,44.39,,,,
3/19/2015,248,277,8.3,,,,
12/8/2016,346,383,0.26,129,152,43.42,475
11/4/2014,144,178,45.51,,,,
2/12/2017,126,148,10.14,37,41,46.34,163
4/3/2015,232,261,8.05,,,,
9/5/2018,634,703,29.3,7,10,50,641
6/11/2015,316,350,10,,,,
12/28/2016,213,238,1.68,87,100,44,300
3/29/2015,140,153,1.96,,,,
9/12/2016,368,417,0,121,138,42.75,489
6/14/2016,358,396,5.05,132,185,45.95,490
9/14/2015,305,358,6.98,,,,
11/6/2015,276,331,7.86,,,,
8/27/2016,444,450,0,20,24,37.5,464
12/20/2014,37,40,52.5,,,,
7/29/2015,377,420,8.81,,,,
1/25/2015,77,93,65.59,,,,
11/30/2015,304,365,8.77,,,,
8/15/2018,649,738,23.85,303,337,26.71,952
2/25/2015,205,231,54.98,,,,
8/8/2016,300,325,0,109,129,31.78,409
11/2/2014,56,65,40,,,,
5/1/2015,322,369,5.42,,,,
9/6/2014,34,39,53.85,,,,
10/10/2016,353,389,0,118,140,47.14,471
1/31/2016,156,173,2.89,,,,
7/14/2018,200,230,30.87,139,144,18.06,339
4/25/2015,202,211,4.27,,,,
7/17/2015,318,340,4.71,,,,
1/24/2017,431,482,10.58,150,178,37.64,581
10/11/2014,49,59,37.29,,,,
12/3/2014,150,191,42.41,,,,
9/21/2015,317,384,4.17,,,,
10/13/2014,123,138,52.17,,,,
