Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
11/20/2017,497,590,15.59,256,289,33.56,753
12/11/2015,246,282,4.26,,,,
2/28/2018,676,782,21.48,322,356,27.25,998
2/20/2017,271,302,9.93,123,147,44.9,394
5/18/2017,371,444,12.84,177,205,36.1,548
9/7/2017,371,418,11.48,243,283,29.33,614
7/22/2017,127,140,16.43,60,67,38.81,187
8/17/2017,314,360,10,188,209,38.28,502
7/28/2014,148,183,46.99,,,,
6/13/2017,397,462,15.15,177,208,46.63,574
10/28/2015,329,420,5,,,,
12/14/2015,304,359,3.06,,,,
11/18/2017,159,181,22.65,108,127,25.2,267
12/20/2017,371,416,16.35,165,184,33.7,536
12/9/2017,177,203,17.24,88,104,21.15,265
8/28/2014,156,197,43.15,,,,
1/18/2017,389,440,10.91,132,151,51.66,521
10/5/2016,366,423,0,224,254,47.64,590
3/12/2017,128,142,11.27,56,63,33.33,184
10/31/2015,102,117,8.55,,,,
7/3/2016,127,137,0,56,60,40,183
5/24/2017,334,376,13.83,167,199,33.67,501
6/13/2015,85,97,8.25,,,,
7/14/2014,175,221,45.7,,,,
11/22/2014,47,56,37.5,,,,
8/1/2017,403,472,11.02,184,219,30.14,587
3/5/2016,102,115,1.74,55,62,38.71,157
9/21/2017,417,482,14.32,289,340,33.82,706
11/11/2014,127,141,50.35,,,,
10/14/2017,135,158,12.66,77,80,32.5,212
8/13/2015,412,442,5.43,,,,
1/20/2018,173,199,19.1,88,100,19,261
6/17/2016,361,405,3.46,105,131,45.8,466
7/30/2017,119,134,17.16,73,80,38.75,192
6/23/2017,311,362,14.92,110,123,41.46,421
7/18/2014,148,174,38.51,,,,
7/25/2018,580,660,27.42,449,486,18.72,1029
2/6/2015,183,218,51.83,,,,
10/3/2014,127,163,44.17,,,,
10/21/2016,240,272,0,123,145,41.38,363
8/30/2017,393,435,19.54,187,208,37.98,580
6/23/2014,176,252,41.67,,,,
8/7/2016,89,95,0,40,43,48.84,129
9/24/2016,112,124,0,43,52,42.31,155
7/2/2016,100,105,0,43,49,53.06,143
6/29/2017,350,407,11.79,188,223,42.15,538
2/17/2018,218,236,24.15,122,133,25.56,340
9/26/2017,446,519,12.52,253,288,35.42,699
3/31/2016,411,467,3.43,198,237,38.82,609
9/4/2014,200,238,44.54,,,,
6/10/2017,153,185,11.89,45,51,31.37,198
5/2/2015,132,139,5.76,,,,
6/28/2014,49,51,49.02,,,,
9/19/2015,92,106,2.83,,,,
6/24/2017,113,126,19.84,35,38,39.47,148
9/15/2017,315,363,19.28,167,202,33.17,482
12/18/2017,366,425,16.71,227,252,29.37,593
5/28/2017,119,133,9.02,58,63,39.68,177
8/5/2014,171,203,44.34,,,,
2/13/2018,598,682,20.97,313,377,19.36,911
10/1/2017,153,167,13.17,81,94,36.17,234
5/27/2017,106,119,12.6,38,40,37.5,144
10/16/2015,254,305,6.23,,,,
8/12/2017,108,117,26.5,48,53,20.75,156
9/30/2017,141,153,16.34,99,109,22.94,240
3/14/2016,396,445,3.15,140,181,45.86,536
7/20/2014,58,67,64.18,,,,
10/17/2017,505,570,18.42,284,360,31.94,789
4/12/2017,409,472,16.1,186,230,27.39,595
12/30/2015,223,253,1.19,,,,
4/12/2015,191,214,14.02,,,,
